ATH	Low_DS_1	Low_DS_2	Low_DS_3	Medium_DS_1	Medium_DS_2	Medium_DS_3	Elevated_DS_1	Elevated_DS_2	Elevated_DS_3	Low_EI_1	Low_EI_2	Low_EI_3	Medium_EI_1	Medium_EI_2	Medium_EI_3	Elevated_EI_1	Elevated_EI_2	Elevated_EI_3	Low_LI_1	Low_LI_2	Low_LI_3	Medium_LI_1	Medium_LI_2	Medium_LI_3	Elevated_LI_1	Elevated_LI_2	Elevated_LI_3
AT1G01680.1	0	2	0	1	2	0	0	1	1	6	3	4	1	1	6	0	0	2	0	1	0	3	0	2	3	1	4
AT1G01690.1	3	20	1	21	5	12	15	14	10	23	15	25	5	37	50	41	9	63	80	45	49	62	85	50	56	28	44
AT1G01695.1	0	0	2	1	1	1	0	2	1	0	3	0	1	1	0	3	2	0	3	0	1	2	0	0	0	2	0
AT1G01700.1	3	19	5	17	8	8	14	15	16	37	19	9	4	26	26	11	6	31	45	29	26	56	77	24	33	16	24
AT1G01710.1	559	1455	741	999	819	912	977	1087	844	768	449	571	144	605	1078	562	132	601	818	740	573	788	917	574	732	469	552
AT1G01720.1	8543	51305	22983	31374	25482	27323	22742	24505	21100	11231	7912	10382	1543	7494	13342	5471	1043	5246	7049	7064	5817	4917	6142	4246	3052	1992	2367
AT1G01725.1	226	1396	822	1158	662	801	757	882	803	556	320	369	106	397	628	318	48	259	534	422	319	307	354	323	198	210	231
AT1G01730.1	387	2145	1009	1438	1049	1163	1362	1536	1092	1184	806	958	231	1019	1832	1019	174	1000	870	753	658	656	775	597	564	466	581
AT1G01740.1	16	53	20	23	39	29	45	41	34	63	38	63	30	199	218	133	21	156	148	126	104	176	174	141	143	115	131
AT1G01750.1	2	4	1	7	3	5	7	8	5	13	12	4	3	23	12	6	3	16	24	20	19	20	32	19	27	11	16
AT1G01760.1	3	7	4	10	7	15	15	20	4	22	25	22	4	36	32	15	4	20	51	48	55	86	77	36	50	33	64
AT1G01770.1	62	273	71	162	203	214	304	340	278	208	164	187	62	371	494	222	82	382	243	294	303	450	554	285	423	184	285
AT1G01780.1	33	123	48	120	69	115	130	172	93	128	83	58	31	205	122	106	22	131	129	105	87	201	226	112	204	85	105
AT1G01790.1	9	16	6	3	7	8	7	2	11	10	14	23	7	55	70	30	7	76	384	43	41	109	103	58	100	54	96
AT1G01800.1	272	1007	538	709	631	644	1078	1207	751	684	425	602	146	579	1352	885	152	791	909	769	624	805	801	781	908	808	1016
AT1G01810.1	16	78	39	90	64	59	73	68	71	252	149	183	59	207	394	233	35	198	126	76	87	100	138	114	115	76	83
AT1G01820.1	1451	3253	1645	2055	1708	1768	2085	2269	1651	1549	1125	1286	362	1303	2578	1481	287	1439	1707	1678	1275	1504	1616	1220	1238	936	1130
AT1G01830.2	5	21	8	41	38	57	81	99	83	27	12	15	8	50	68	73	16	76	120	81	63	104	111	75	145	106	134
AT1G01840.1	10	73	37	53	41	44	40	40	31	90	54	56	28	80	172	92	23	113	119	92	69	123	146	116	116	111	133
AT1G01860.1	58	170	83	93	92	93	90	123	68	171	107	133	40	146	264	156	34	201	273	222	184	285	318	247	263	238	273
AT1G01880.1	21	71	32	41	34	45	46	28	30	33	19	17	3	18	32	20	3	36	52	36	31	45	42	26	40	32	37
AT1G01900.1	2	12	0	4	6	2	4	6	71	8	8	7	2	4	8	5	2	18	62	3	1	1	3	6	0	5	2
AT1G01910.1	409	1267	643	742	636	644	625	636	502	1127	697	902	201	845	1560	881	173	949	702	581	535	919	1063	669	827	568	684
AT1G01920.1	192	433	206	347	299	263	358	368	257	378	310	322	117	384	720	376	92	436	765	799	633	978	1080	671	863	568	699
AT1G01930.1	144	672	298	543	474	480	662	715	592	577	397	498	93	541	842	427	65	475	390	379	346	447	440	327	327	235	266
AT1G01940.1	138	553	257	332	283	259	272	290	203	764	477	638	150	617	1160	623	125	628	545	444	409	503	533	518	532	418	537
AT1G01950.3	22	100	44	86	81	81	117	127	101	136	86	85	44	191	314	215	45	267	383	370	312	569	616	349	524	330	388
AT1G01960.1	246	1796	625	1091	1182	1040	1442	1522	1345	976	941	872	217	1417	2020	1005	344	1539	1806	1585	1851	2358	2593	1417	1937	882	1008
AT1G01970.1	170	1208	609	979	837	865	895	1028	726	705	513	659	134	483	1026	554	94	593	552	460	360	455	473	413	407	353	411
AT1G01980.1	3	35	10	28	43	22	12	12	38	0	1	0	0	2	6	3	0	1	0	0	0	0	1	0	1	0	0
AT1G01990.1	113	947	373	606	517	483	656	712	547	645	475	480	144	643	1074	624	127	649	757	791	642	798	875	662	691	471	623
AT1G02000.1	8	41	13	28	23	18	13	12	30	73	53	58	7	70	116	39	6	53	30	19	15	44	50	30	39	32	31
AT1G02010.1	29	144	38	84	72	90	78	81	75	99	57	77	26	107	162	68	18	123	134	102	86	145	173	88	132	64	85
AT1G02020.1	92	637	277	348	330	340	400	426	345	277	180	177	50	324	308	154	48	269	304	241	268	270	366	170	236	108	127
AT1G02030.1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1
AT1G02040.1	0	1	2	3	6	5	3	6	6	2	2	3	1	4	6	4	0	1	6	4	1	6	6	6	5	2	1
AT1G02050.1	49	323	153	287	237	223	339	310	296	308	212	195	59	282	428	271	42	289	618	663	464	605	696	506	485	310	378
AT1G02060.1	25	270	77	128	172	148	240	292	200	188	202	208	48	242	454	236	51	275	454	577	547	642	681	485	463	245	376
AT1G02065.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	13	0	0	1	1	0	0	0	0
AT1G02070.1	0	3	1	2	1	4	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1
AT1G02074.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02080.1	796	3307	921	1659	1937	1814	2086	2284	2131	1740	1749	1603	285	2311	2704	987	408	1951	1883	1678	2168	2926	3201	1492	1996	722	944
AT1G02090.1	660	1560	828	1082	894	877	1053	1087	795	2070	1190	1754	423	1562	3398	1398	284	1395	954	832	706	969	1103	871	922	742	838
AT1G02100.3	486	1182	542	793	755	751	1036	1074	860	923	614	792	210	815	1578	827	181	859	1149	1143	853	1163	1335	973	1036	718	1016
AT1G02110.1	72	469	229	348	374	353	618	543	492	341	252	267	80	434	580	445	66	510	845	784	713	972	1128	707	860	507	676
AT1G02120.1	794	2334	1039	1464	1328	1376	1480	1385	1251	1241	811	934	268	1051	1744	818	193	995	1202	1101	920	1218	1474	768	851	495	626
AT1G02130.1	302	863	426	563	449	434	535	634	402	750	545	629	156	696	1288	799	137	864	841	709	638	988	1037	678	941	674	796
AT1G02140.1	963	3581	2222	2552	2037	2150	2567	2718	2098	3913	2456	3166	869	3015	6452	3803	640	3660	3991	3373	2569	3299	3641	3104	3251	2855	3325
AT1G02145.3	118	224	98	185	210	219	339	337	251	264	172	210	77	302	474	333	86	437	513	434	457	601	732	415	540	358	428
AT1G02150.1	403	2610	1362	1703	1519	1602	1910	2001	1627	1744	1275	1390	404	1575	2850	1913	333	1917	2837	2480	1937	2616	2739	2089	2505	1798	2435
AT1G02160.2	250	802	470	612	409	488	636	613	520	650	439	483	166	488	1154	623	137	606	845	733	519	613	774	593	557	561	679
AT1G02170.1	87	375	186	246	199	178	311	305	227	373	207	285	53	280	432	184	34	179	249	194	155	192	242	158	173	111	177
AT1G02180.1	2	12	10	9	15	13	14	23	17	23	12	10	6	26	36	24	4	33	61	31	46	87	64	47	86	80	94
AT1G02190.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	1
AT1G02205.3	14	3	0	3	0	0	3	0	8	0	2	0	0	2	0	0	0	13	218	3	2	7	2	24	10	4	11
AT1G02210.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02220.1	1	0	3	1	0	5	5	2	8	23	23	24	7	18	20	15	3	5	7	6	10	1	4	2	2	7	7
AT1G02230.1	7	33	18	0	1	5	2	0	0	144	104	142	10	42	70	8	1	7	50	40	48	16	43	11	7	2	2
AT1G02250.1	0	3	2	0	1	0	3	3	1	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
AT1G02260.1	45	351	85	173	156	174	137	148	129	302	164	202	67	259	388	170	51	258	346	313	242	339	443	253	275	159	192
AT1G02270.1	75	223	90	111	125	131	168	143	136	319	230	258	70	262	446	235	49	273	268	200	205	257	290	204	214	142	197
AT1G02280.1	550	1439	790	1105	1015	1032	1523	1690	1224	1519	1086	1364	435	1485	3296	2274	410	2275	2470	2155	1578	2524	2888	2445	3122	2783	3528
AT1G02290.1	4	26	17	48	38	60	57	59	45	91	87	75	30	121	192	150	35	157	237	204	186	241	273	159	194	146	163
AT1G02300.1	32	75	44	63	50	63	90	99	66	101	47	60	20	55	146	116	15	153	142	93	102	83	103	113	131	94	130
AT1G02305.1	475	1270	651	1066	960	1056	1429	1593	1193	1527	1070	1186	367	1321	2730	1938	360	1828	1873	1840	1491	1817	1918	1614	1900	1414	1920
AT1G02310.1	323	1446	769	673	666	772	628	608	497	755	448	641	36	191	388	81	9	98	72	53	29	19	19	25	17	7	10
AT1G02320.1	0	0	0	0	2	1	1	3	0	2	0	2	1	0	2	1	0	0	0	0	0	0	0	1	1	2	0
AT1G02330.1	260	677	412	529	454	456	514	539	392	1227	700	1086	265	921	2008	921	179	879	723	675	518	806	907	720	713	562	615
AT1G02335.1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	4	1	0	0	42	0	0	0	0	0	0	3	3
AT1G02340.1	4	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	6	6	5	2	1	1
AT1G02350.1	3	6	2	7	2	4	9	9	6	5	5	3	1	9	16	7	1	17	16	25	10	25	16	14	13	6	15
AT1G02360.1	1	2	0	0	0	0	0	0	0	69	3	48	11	55	102	106	5	19	11	4	10	2	0	2	38	35	30
AT1G02370.1	41	248	118	250	220	200	262	328	204	447	316	382	156	607	974	696	151	837	819	747	671	880	926	614	671	507	545
AT1G02380.1	339	1402	687	812	701	775	447	480	385	288	214	285	53	191	460	131	19	124	161	149	99	78	92	80	40	35	48
AT1G02390.1	1	1	2	1	0	6	5	2	5	2	2	7	1	3	0	3	1	10	10	13	9	22	27	15	20	15	18
AT1G02391.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02400.1	16	101	49	37	56	62	14	11	12	146	91	148	6	57	92	15	1	15	60	58	48	14	23	22	2	7	28
AT1G02405.1	7	87	33	48	55	61	40	63	52	169	114	134	34	120	202	137	10	97	68	49	33	92	99	56	72	55	57
AT1G02410.1	127	446	187	401	325	360	403	470	350	947	596	850	153	554	1078	452	103	529	622	627	464	615	663	523	476	380	458
AT1G02420.1	8	74	49	79	82	64	107	118	73	130	95	110	23	129	194	124	32	144	120	142	130	178	192	152	159	129	136
AT1G02430.1	6	51	26	67	59	38	73	58	57	113	50	70	23	91	144	86	17	82	85	92	54	89	121	87	75	77	76
AT1G02440.1	1	7	7	2	6	8	8	11	5	13	5	10	3	12	6	3	1	2	0	2	1	3	7	4	1	1	3
AT1G02450.1	2	5	5	2	1	5	0	1	1	79	64	67	7	32	62	15	5	11	32	13	23	31	49	20	12	14	24
AT1G02460.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	2	0	2	1
AT1G02470.2	0	0	0	1	0	0	0	0	4	0	0	2	0	0	0	2	0	0	0	0	0	5	4	2	1	0	3
AT1G02475.1	44	120	55	69	52	59	59	68	48	165	112	132	19	106	214	119	21	149	177	119	75	109	141	81	131	98	143
AT1G02490.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AT1G02500.1	53	204	97	124	105	107	165	165	158	835	427	623	130	614	908	653	106	562	1510	791	784	747	732	556	794	525	648
AT1G02510.1	0	0	0	0	0	0	0	0	0	5	1	2	0	1	0	1	0	0	0	1	0	0	2	1	0	0	0
AT1G02520.1	0	6	1	8	6	5	23	19	17	261	126	189	32	227	280	233	69	244	71	140	127	100	166	60	90	54	61
AT1G02530.1	0	0	0	0	0	0	0	0	0	1	0	3	1	5	0	0	0	3	3	1	0	0	0	0	4	0	1
AT1G02540.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02550.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02560.1	604	1752	827	1218	1121	1150	1320	1495	1091	1322	977	1134	391	1592	2740	1848	355	2188	2465	1609	1388	2575	2539	1799	2710	2082	2493
AT1G02570.1	2	0	0	1	0	1	3	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AT1G02575.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02580.1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	1	1	1	2	0	0	0
AT1G02590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02610.1	100	278	167	187	197	172	141	140	139	257	186	263	39	107	206	113	23	85	162	135	137	62	133	104	42	17	19
AT1G02620.1	0	0	0	1	0	0	0	0	0	3	3	0	0	1	8	1	0	1	0	1	2	4	7	0	2	0	2
AT1G02630.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
AT1G02640.1	20	14	8	19	19	20	18	20	7	45	32	44	10	48	58	120	23	108	70	149	184	1065	856	453	775	474	441
AT1G02650.1	2	18	20	23	15	23	25	16	21	26	15	32	3	10	42	15	2	13	24	17	7	14	22	11	12	9	15
AT1G02660.1	83	487	258	414	414	398	273	335	312	850	635	671	58	398	590	297	71	261	356	372	311	195	322	169	191	117	184
AT1G02670.1	5	0	2	3	6	3	9	7	11	14	14	16	1	9	12	8	1	7	18	4	9	8	12	4	7	1	5
AT1G02680.1	303	806	455	719	479	537	646	717	521	629	430	452	170	479	984	638	89	637	711	598	463	487	538	481	418	396	480
AT1G02690.2	139	532	217	304	289	301	413	392	310	346	229	251	93	445	622	508	114	627	555	493	404	511	629	418	540	368	465
AT1G02700.1	1998	13101	7305	11751	10234	10711	12380	13981	9754	11734	7757	8996	1821	6682	13620	9872	1650	9333	11004	9433	7599	5647	6198	5408	4856	3977	4804
AT1G02710.1	3	44	26	22	23	31	21	21	19	39	33	29	3	22	18	12	2	10	15	10	6	5	10	10	5	2	4
AT1G02720.1	6	21	14	27	13	14	39	28	45	44	32	37	15	47	92	61	9	62	155	99	121	201	176	108	156	133	119
AT1G02730.1	2	2	3	1	4	2	2	3	3	4	6	2	2	7	10	1	0	56	692	3	1	0	5	24	10	1	7
AT1G02740.1	69	306	139	234	212	215	223	222	202	208	139	202	58	212	480	292	70	318	334	322	229	395	377	276	308	242	300
AT1G02750.1	155	676	358	427	448	436	283	369	226	1522	993	1339	204	785	1848	688	134	729	320	292	182	284	283	243	199	172	228
AT1G02770.1	171	671	329	326	321	314	352	411	298	499	330	434	94	362	744	390	74	363	315	280	234	276	287	221	237	166	207
AT1G02780.1	1638	4344	2492	4347	4149	3709	4851	4908	3855	10106	7006	8374	3455	10604	22722	16863	3050	16020	26317	22970	19462	30982	32286	27249	33049	31814	36258
AT1G02790.1	43	120	86	156	239	154	59	61	1051	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AT1G02800.1	4	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	1	43	1	1	0	4	4	4	2	2
AT1G02810.1	27	137	79	81	73	86	84	96	63	36	20	35	6	43	68	48	11	62	82	96	68	230	245	143	210	148	156
AT1G02813.1	0	4	2	2	0	0	1	1	0	1	0	1	0	1	0	0	3	0	1	3	2	1	2	1	1	0	2
AT1G02816.1	106	1000	498	945	796	946	1112	1279	993	1743	1111	1325	293	1127	2180	1458	275	1259	1242	1161	926	780	949	783	760	594	639
AT1G02820.1	0	2	2	1	2	0	3	3	6	20	8	6	3	8	30	15	5	19	6	5	6	6	2	10	6	8	15
AT1G02830.1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	2	5	0	5	0	4	0	2	3	1	2	2	5
AT1G02840.1	1020	2558	1243	1793	1445	1453	1577	1694	1373	2685	1700	2033	592	2237	3958	1906	399	2147	2454	2068	1625	2637	2966	2195	2415	1795	2327
AT1G02850.4	2223	6912	3232	5064	4613	4562	6610	7282	5129	4880	3395	4310	1671	6481	11570	6333	1279	6489	5258	5168	5130	5265	5758	4111	3664	2536	2821
AT1G02860.1	57	243	119	140	135	128	150	137	152	435	231	385	66	332	644	281	58	260	235	206	144	209	257	164	183	110	137
AT1G02870.1	365	1372	706	889	778	786	637	677	455	1359	862	1092	390	1255	2632	1661	283	1693	1273	1114	909	1737	1772	1387	1597	1305	1529
AT1G02880.3	238	947	420	571	509	593	646	707	579	878	507	687	161	726	1068	453	100	550	535	545	470	545	655	414	389	271	298
AT1G02890.1	2905	9357	3915	5756	5829	5960	7507	8093	6671	4747	3796	3968	730	3942	5754	2209	654	3078	2878	2990	3144	2951	3506	2069	2047	1013	1324
AT1G02900.1	1	3	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	1	4	3	4	4	0	3	13	8	7
AT1G02910.1	229	593	302	430	406	408	525	557	490	573	374	470	128	489	798	417	95	434	567	430	377	474	538	347	390	298	325
AT1G02920.1	88	1019	423	429	841	918	76	326	44	5565	734	4669	1102	4599	8310	3904	475	1637	1255	2216	4492	307	293	1290	3719	3581	2842
