ATH	Elevated_LI_1	Elevated_LI_3	Elevated_LI_2	Elevated_EI_1	Elevated_EI_2	Elevated_EI_3	Elevated_DS_1	Elevated_DS_3	Elevated_DS_2	Low_LI_1	Low_LI_2	Low_LI_3	Low_EI_3	Low_EI_1	Low_EI_2	Low_DS_1	Low_DS_3	Low_DS_2	Medium_LI_1	Medium_LI_2	Medium_LI_3	Medium_EI_2	Medium_EI_1	Medium_EI_3	Medium_DS_1	Medium_DS_3	Medium_DS_2
AT1G01920.1	863	699	568	376	92	436	358	257	368	765	799	633	322	378	310	192	206	433	978	1080	671	384	117	720	347	263	299
AT1G01930.1	327	266	235	427	65	475	662	592	715	390	379	346	498	577	397	144	298	672	447	440	327	541	93	842	543	480	474
AT1G01940.1	532	537	418	623	125	628	272	203	290	545	444	409	638	764	477	138	257	553	503	533	518	617	150	1160	332	259	283
AT1G01950.3	524	388	330	215	45	267	117	101	127	383	370	312	85	136	86	22	44	100	569	616	349	191	44	314	86	81	81
AT1G01960.1	1937	1008	882	1005	344	1539	1442	1345	1522	1806	1585	1851	872	976	941	246	625	1796	2358	2593	1417	1417	217	2020	1091	1040	1182
AT1G01970.1	407	411	353	554	94	593	895	726	1028	552	460	360	659	705	513	170	609	1208	455	473	413	483	134	1026	979	865	837
AT1G01980.1	1	0	0	3	0	1	12	38	12	0	0	0	0	0	1	3	10	35	0	1	0	2	0	6	28	22	43
AT1G01990.1	691	623	471	624	127	649	656	547	712	757	791	642	480	645	475	113	373	947	798	875	662	643	144	1074	606	483	517
AT1G02000.1	39	31	32	39	6	53	13	30	12	30	19	15	58	73	53	8	13	41	44	50	30	70	7	116	28	18	23
AT1G02010.1	132	85	64	68	18	123	78	75	81	134	102	86	77	99	57	29	38	144	145	173	88	107	26	162	84	90	72
AT1G02020.1	236	127	108	154	48	269	400	345	426	304	241	268	177	277	180	92	277	637	270	366	170	324	50	308	348	340	330
AT1G02030.1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1
AT1G02040.1	5	1	2	4	0	1	3	6	6	6	4	1	3	2	2	0	2	1	6	6	6	4	1	6	3	5	6
AT1G02050.1	485	378	310	271	42	289	339	296	310	618	663	464	195	308	212	49	153	323	605	696	506	282	59	428	287	223	237
AT1G02060.1	463	376	245	236	51	275	240	200	292	454	577	547	208	188	202	25	77	270	642	681	485	242	48	454	128	148	172
AT1G02065.1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0
AT1G02070.1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	3	0	1	0	1	0	0	2	4	1
AT1G02074.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02080.1	1996	944	722	987	408	1951	2086	2131	2284	1883	1678	2168	1603	1740	1749	796	921	3307	2926	3201	1492	2311	285	2704	1659	1814	1937
AT1G02090.1	922	838	742	1398	284	1395	1053	795	1087	954	832	706	1754	2070	1190	660	828	1560	969	1103	871	1562	423	3398	1082	877	894
AT1G02100.3	1036	1016	718	827	181	859	1036	860	1074	1149	1143	853	792	923	614	486	542	1182	1163	1335	973	815	210	1578	793	751	755
AT1G02110.1	860	676	507	445	66	510	618	492	543	845	784	713	267	341	252	72	229	469	972	1128	707	434	80	580	348	353	374
AT1G02120.1	851	626	495	818	193	995	1480	1251	1385	1202	1101	920	934	1241	811	794	1039	2334	1218	1474	768	1051	268	1744	1464	1376	1328
AT1G02130.1	941	796	674	799	137	864	535	402	634	841	709	638	629	750	545	302	426	863	988	1037	678	696	156	1288	563	434	449
AT1G02140.1	3251	3325	2855	3803	640	3660	2567	2098	2718	3991	3373	2569	3166	3913	2456	963	2222	3581	3299	3641	3104	3015	869	6452	2552	2150	2037
AT1G02145.3	540	428	358	333	86	437	339	251	337	513	434	457	210	264	172	118	98	224	601	732	415	302	77	474	185	219	210
AT1G02150.1	2505	2435	1798	1913	333	1917	1910	1627	2001	2837	2480	1937	1390	1744	1275	403	1362	2610	2616	2739	2089	1575	404	2850	1703	1602	1519
AT1G02160.2	557	679	561	623	137	606	636	520	613	845	733	519	483	650	439	250	470	802	613	774	593	488	166	1154	612	488	409
AT1G02170.1	173	177	111	184	34	179	311	227	305	249	194	155	285	373	207	87	186	375	192	242	158	280	53	432	246	178	199
AT1G02180.1	86	94	80	24	4	33	14	17	23	61	31	46	10	23	12	2	10	12	87	64	47	26	6	36	9	13	15
AT1G02190.1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
AT1G02205.3	10	11	4	0	0	13	3	8	0	218	3	2	0	0	2	14	0	3	7	2	24	2	0	0	3	0	0
AT1G02210.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02220.1	2	7	7	15	3	5	5	8	2	7	6	10	24	23	23	1	3	0	1	4	2	18	7	20	1	5	0
AT1G02230.1	7	2	2	8	1	7	2	0	0	50	40	48	142	144	104	7	18	33	16	43	11	42	10	70	0	5	1
AT1G02250.1	0	0	0	0	0	0	3	1	3	2	0	0	0	1	1	0	2	3	0	0	0	1	0	0	0	0	1
AT1G02260.1	275	192	159	170	51	258	137	129	148	346	313	242	202	302	164	45	85	351	339	443	253	259	67	388	173	174	156
AT1G02270.1	214	197	142	235	49	273	168	136	143	268	200	205	258	319	230	75	90	223	257	290	204	262	70	446	111	131	125
AT1G02280.1	3122	3528	2783	2274	410	2275	1523	1224	1690	2470	2155	1578	1364	1519	1086	550	790	1439	2524	2888	2445	1485	435	3296	1105	1032	1015
AT1G02290.1	194	163	146	150	35	157	57	45	59	237	204	186	75	91	87	4	17	26	241	273	159	121	30	192	48	60	38
AT1G02300.1	131	130	94	116	15	153	90	66	99	142	93	102	60	101	47	32	44	75	83	103	113	55	20	146	63	63	50
AT1G02305.1	1900	1920	1414	1938	360	1828	1429	1193	1593	1873	1840	1491	1186	1527	1070	475	651	1270	1817	1918	1614	1321	367	2730	1066	1056	960
AT1G02310.1	17	10	7	81	9	98	628	497	608	72	53	29	641	755	448	323	769	1446	19	19	25	191	36	388	673	772	666
AT1G02320.1	1	0	2	1	0	0	1	0	3	0	0	0	2	2	0	0	0	0	0	0	1	0	1	2	0	1	2
AT1G02330.1	713	615	562	921	179	879	514	392	539	723	675	518	1086	1227	700	260	412	677	806	907	720	921	265	2008	529	456	454
AT1G02335.1	0	3	3	1	0	0	0	0	0	42	0	0	0	1	1	1	0	0	0	0	0	1	0	4	0	0	0
AT1G02340.1	2	1	1	1	0	0	0	1	0	1	1	0	0	0	0	4	0	2	6	6	5	0	0	0	0	1	0
AT1G02350.1	13	15	6	7	1	17	9	6	9	16	25	10	3	5	5	3	2	6	25	16	14	9	1	16	7	4	2
AT1G02360.1	38	30	35	106	5	19	0	0	0	11	4	10	48	69	3	1	0	2	2	0	2	55	11	102	0	0	0
AT1G02370.1	671	545	507	696	151	837	262	204	328	819	747	671	382	447	316	41	118	248	880	926	614	607	156	974	250	200	220
AT1G02380.1	40	48	35	131	19	124	447	385	480	161	149	99	285	288	214	339	687	1402	78	92	80	191	53	460	812	775	701
AT1G02390.1	20	18	15	3	1	10	5	5	2	10	13	9	7	2	2	1	2	1	22	27	15	3	1	0	1	6	0
AT1G02391.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02400.1	2	28	7	15	1	15	14	12	11	60	58	48	148	146	91	16	49	101	14	23	22	57	6	92	37	62	56
AT1G02405.1	72	57	55	137	10	97	40	52	63	68	49	33	134	169	114	7	33	87	92	99	56	120	34	202	48	61	55
AT1G02410.1	476	458	380	452	103	529	403	350	470	622	627	464	850	947	596	127	187	446	615	663	523	554	153	1078	401	360	325
AT1G02420.1	159	136	129	124	32	144	107	73	118	120	142	130	110	130	95	8	49	74	178	192	152	129	23	194	79	64	82
AT1G02430.1	75	76	77	86	17	82	73	57	58	85	92	54	70	113	50	6	26	51	89	121	87	91	23	144	67	38	59
AT1G02440.1	1	3	1	3	1	2	8	5	11	0	2	1	10	13	5	1	7	7	3	7	4	12	3	6	2	8	6
AT1G02450.1	12	24	14	15	5	11	0	1	1	32	13	23	67	79	64	2	5	5	31	49	20	32	7	62	2	5	1
AT1G02460.1	0	1	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
AT1G02470.2	1	3	0	2	0	0	0	4	0	0	0	0	2	0	0	0	0	0	5	4	2	0	0	0	1	0	0
AT1G02475.1	131	143	98	119	21	149	59	48	68	177	119	75	132	165	112	44	55	120	109	141	81	106	19	214	69	59	52
AT1G02490.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02500.1	794	648	525	653	106	562	165	158	165	1510	791	784	623	835	427	53	97	204	747	732	556	614	130	908	124	107	105
AT1G02510.1	0	0	0	1	0	0	0	0	0	0	1	0	2	5	1	0	0	0	0	2	1	1	0	0	0	0	0
AT1G02520.1	90	61	54	233	69	244	23	17	19	71	140	127	189	261	126	0	1	6	100	166	60	227	32	280	8	5	6
AT1G02530.1	4	1	0	0	0	3	0	0	0	3	1	0	3	1	0	0	0	0	0	0	0	5	1	0	0	0	0
AT1G02540.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02550.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02560.1	2710	2493	2082	1848	355	2188	1320	1091	1495	2465	1609	1388	1134	1322	977	604	827	1752	2575	2539	1799	1592	391	2740	1218	1150	1121
AT1G02570.1	0	0	0	1	0	0	3	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0
AT1G02575.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02580.1	0	0	0	0	0	2	0	2	0	0	0	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0
AT1G02590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02610.1	42	19	17	113	23	85	141	139	140	162	135	137	263	257	186	100	167	278	62	133	104	107	39	206	187	172	197
AT1G02620.1	2	2	0	1	0	1	0	0	0	0	1	2	0	3	3	0	0	0	4	7	0	1	0	8	1	0	0
AT1G02630.1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02640.1	775	441	474	120	23	108	18	7	20	70	149	184	44	45	32	20	8	14	1065	856	453	48	10	58	19	20	19
AT1G02650.1	12	15	9	15	2	13	25	21	16	24	17	7	32	26	15	2	20	18	14	22	11	10	3	42	23	23	15
AT1G02660.1	191	184	117	297	71	261	273	312	335	356	372	311	671	850	635	83	258	487	195	322	169	398	58	590	414	398	414
AT1G02670.1	7	5	1	8	1	7	9	11	7	18	4	9	16	14	14	5	2	0	8	12	4	9	1	12	3	3	6
AT1G02680.1	418	480	396	638	89	637	646	521	717	711	598	463	452	629	430	303	455	806	487	538	481	479	170	984	719	537	479
AT1G02690.2	540	465	368	508	114	627	413	310	392	555	493	404	251	346	229	139	217	532	511	629	418	445	93	622	304	301	289
AT1G02700.1	4856	4804	3977	9872	1650	9333	12380	9754	13981	11004	9433	7599	8996	11734	7757	1998	7305	13101	5647	6198	5408	6682	1821	13620	11751	10711	10234
AT1G02710.1	5	4	2	12	2	10	21	19	21	15	10	6	29	39	33	3	26	44	5	10	10	22	3	18	22	31	23
AT1G02720.1	156	119	133	61	9	62	39	45	28	155	99	121	37	44	32	6	14	21	201	176	108	47	15	92	27	14	13
AT1G02730.1	10	7	1	1	0	56	2	3	3	692	3	1	2	4	6	2	3	2	0	5	24	7	2	10	1	2	4
AT1G02740.1	308	300	242	292	70	318	223	202	222	334	322	229	202	208	139	69	139	306	395	377	276	212	58	480	234	215	212
AT1G02750.1	199	228	172	688	134	729	283	226	369	320	292	182	1339	1522	993	155	358	676	284	283	243	785	204	1848	427	436	448
AT1G02770.1	237	207	166	390	74	363	352	298	411	315	280	234	434	499	330	171	329	671	276	287	221	362	94	744	326	314	321
AT1G02780.1	33049	36258	31814	16863	3050	16020	4851	3855	4908	26317	22970	19462	8374	10106	7006	1638	2492	4344	30982	32286	27249	10604	3455	22722	4347	3709	4149
AT1G02790.1	0	0	0	0	0	0	59	1051	61	0	0	0	0	1	0	43	86	120	1	0	0	0	0	0	156	154	239
AT1G02800.1	4	2	2	2	0	1	1	0	0	43	1	1	0	0	0	4	0	1	0	4	4	0	0	0	2	0	0
AT1G02810.1	210	156	148	48	11	62	84	63	96	82	96	68	35	36	20	27	79	137	230	245	143	43	6	68	81	86	73
AT1G02813.1	1	2	0	0	3	0	1	0	1	1	3	2	1	1	0	0	2	4	1	2	1	1	0	0	2	0	0
AT1G02816.1	760	639	594	1458	275	1259	1112	993	1279	1242	1161	926	1325	1743	1111	106	498	1000	780	949	783	1127	293	2180	945	946	796
AT1G02820.1	6	15	8	15	5	19	3	6	3	6	5	6	6	20	8	0	2	2	6	2	10	8	3	30	1	0	2
AT1G02830.1	2	5	2	5	0	5	0	1	0	0	4	0	0	1	1	0	0	0	2	3	1	0	0	2	0	1	0
AT1G02840.1	2415	2327	1795	1906	399	2147	1577	1373	1694	2454	2068	1625	2033	2685	1700	1020	1243	2558	2637	2966	2195	2237	592	3958	1793	1453	1445
AT1G02850.4	3664	2821	2536	6333	1279	6489	6610	5129	7282	5258	5168	5130	4310	4880	3395	2223	3232	6912	5265	5758	4111	6481	1671	11570	5064	4562	4613
AT1G02860.1	183	137	110	281	58	260	150	152	137	235	206	144	385	435	231	57	119	243	209	257	164	332	66	644	140	128	135
AT1G02870.1	1597	1529	1305	1661	283	1693	637	455	677	1273	1114	909	1092	1359	862	365	706	1372	1737	1772	1387	1255	390	2632	889	786	778
AT1G02880.3	389	298	271	453	100	550	646	579	707	535	545	470	687	878	507	238	420	947	545	655	414	726	161	1068	571	593	509
AT1G02890.1	2047	1324	1013	2209	654	3078	7507	6671	8093	2878	2990	3144	3968	4747	3796	2905	3915	9357	2951	3506	2069	3942	730	5754	5756	5960	5829
AT1G02900.1	13	7	8	4	0	1	0	0	1	4	3	4	1	0	0	1	0	3	4	0	3	0	0	0	0	0	0
AT1G02910.1	390	325	298	417	95	434	525	490	557	567	430	377	470	573	374	229	302	593	474	538	347	489	128	798	430	408	406
AT1G02920.1	3719	2842	3581	3904	475	1637	76	44	326	1255	2216	4492	4669	5565	734	88	423	1019	307	293	1290	4599	1102	8310	429	918	841
